[2026-07-22 21:12:24.784]	 Installing "tmux-sensible"
[2026-07-22 21:12:24.786]	 Installing "tmux-prefix-highlight"
[2026-07-22 21:12:24.792]	 Installing "tmux-resurrect"
[2026-07-22 21:12:26.092]	   "tmux-fzf" download fail
[2026-07-22 21:12:26.506]	   "tmux-quick-select" download fail
[2026-07-22 21:12:26.809]	   "tmux-copycat" download success
[2026-07-22 21:12:26.824]	   "tmux-open" download success
[2026-07-22 21:12:26.918]	   "tmux-sensible" download success
[2026-07-22 21:12:26.946]	   "tmux-cpu" download success
[2026-07-22 21:12:27.036]	   "tmux-prefix-highlight" download success
[2026-07-22 21:12:27.323]	   "tmux" download success
[2026-07-22 21:12:28.089]	   "tmux-continuum" download success
[2026-07-22 21:12:30.040]	   "tmux-resurrect" download success
[2026-07-22 21:12:30.167]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/update_plugins all
[2026-07-22 21:12:28.315]	 Updating all plugins!
[2026-07-22 21:12:28.315]	 
[2026-07-22 21:12:30.172]	   "tmux-cpu" update success
[2026-07-22 21:12:30.186]	     | 已经是最新的。
[2026-07-22 21:12:33.729]	   "tmux-copycat" update fail
[2026-07-22 21:12:33.742]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-copycat/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:33.985]	   "tmux-resurrect" update fail
[2026-07-22 21:12:33.995]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-resurrect/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:34.067]	   "tmux-continuum" update fail
[2026-07-22 21:12:34.074]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-continuum/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:34.161]	   "tmux-open" update fail
[2026-07-22 21:12:34.165]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-open/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:34.240]	   "tmux-prefix-highlight" update fail
[2026-07-22 21:12:34.250]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-prefix-highlight/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:34.303]	   "tmux-sensible" update fail
[2026-07-22 21:12:34.309]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-sensible/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:34.338]	   "tmux" update fail
[2026-07-22 21:12:34.340]	     | 致命错误：无法访问 'https://github.com/catppuccin/tmux/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:34.371]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/clean_plugins all
[2026-07-22 21:12:34.476]	 Done.

[2026-07-22 21:12:30.243]	 Updating all plugins!
[2026-07-22 21:12:30.243]	 
[2026-07-22 21:12:35.438]	   "tmux-copycat" update fail
[2026-07-22 21:12:35.441]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-copycat/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.529]	   "tmux-cpu" update fail
[2026-07-22 21:12:35.534]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-cpu/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.574]	   "tmux-continuum" update fail
[2026-07-22 21:12:35.579]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-continuum/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.586]	   "tmux-resurrect" update fail
[2026-07-22 21:12:35.588]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-resurrect/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.639]	   "tmux-open" update fail
[2026-07-22 21:12:35.642]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-open/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.682]	   "tmux-prefix-highlight" update fail
[2026-07-22 21:12:35.685]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-prefix-highlight/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.706]	   "tmux-sensible" update fail
[2026-07-22 21:12:35.708]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-sensible/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.726]	   "tmux" update fail
[2026-07-22 21:12:35.728]	     | 致命错误：无法访问 'https://github.com/catppuccin/tmux/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 21:12:35.749]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/clean_plugins all
[2026-07-22 21:12:35.794]	 Removing "tmux"
[2026-07-22 21:12:35.800]	   "tmux" clean success
